FIPS,State,"County, State",FI Rate,Num FI Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child FI Rate,Num FI Children,% FI Children Below 185 FPL,% FI Children Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year,Name
1001,AL,"Autauga County, Alabama",0.134,7140,1.3,SNAP,1.85,Other Nutrition Program,0.327,0.208,0.465,0.203,2980.0,0.51,0.49,2.58,3170830,10,Autauga County
1003,AL,"Baldwin County, Alabama",0.134,23570,1.3,SNAP,1.85,Other Nutrition Program,0.347,0.287,0.366,0.238,9720.0,0.59,0.41,2.64,10710730,10,Baldwin County
1005,AL,"Barbour County, Alabama",0.232,6440,1.3,SNAP,1.85,Other Nutrition Program,0.479,0.171,0.35,0.258,1600.0,0.87,0.13,2.53,2804540,10,Barbour County
1007,AL,"Bibb County, Alabama",0.157,3550,1.3,SNAP,1.85,Other Nutrition Program,0.358,0.288,0.354,0.249,1300.0,0.64,0.36,2.55,1558200,10,Bibb County
1009,AL,"Blount County, Alabama",0.126,7160,1.3,SNAP,1.85,Other Nutrition Program,0.41,0.305,0.285,0.254,3540.0,0.53,0.47,2.5,3081120,10,Blount County
1011,AL,"Bullock County, Alabama",0.285,3110,1.3,SNAP,1.85,Other Nutrition Program,0.553,0.197,0.25,0.291,730.0,0.95,0.05,3.04,1627380,10,Bullock County
1013,AL,"Butler County, Alabama",0.231,4820,1.3,SNAP,1.85,Other Nutrition Program,0.557,0.211,0.232,0.257,1270.0,0.92,0.08,2.49,2065870,10,Butler County
1015,AL,"Calhoun County, Alabama",0.171,20020,1.3,SNAP,1.85,Other Nutrition Program,0.468,0.224,0.308,0.254,6760.0,0.69,0.31,2.59,8925230,10,Calhoun County
1017,AL,"Chambers County, Alabama",0.225,7770,1.3,SNAP,1.85,Other Nutrition Program,0.5,0.239,0.261,0.269,2160.0,0.82,0.18,2.44,3263370,10,Chambers County
1019,AL,"Cherokee County, Alabama",0.146,3750,1.3,SNAP,1.85,Other Nutrition Program,0.492,0.258,0.25,0.277,1470.0,0.59,0.41,2.52,1626630,10,Cherokee County
1021,AL,"Chilton County, Alabama",0.153,6590,1.3,SNAP,1.85,Other Nutrition Program,0.478,0.319,0.203,0.276,2960.0,0.68,0.32,2.52,2858520,10,Chilton County
1023,AL,"Choctaw County, Alabama",0.211,2970,1.3,SNAP,1.85,Other Nutrition Program,0.517,0.212,0.271,0.229,750.0,0.75,0.25,2.85,1456990,10,Choctaw County
1025,AL,"Clarke County, Alabama",0.265,6950,1.3,SNAP,1.85,Other Nutrition Program,0.561,0.154,0.285,0.304,2040.0,0.78,0.23,2.48,2966830,10,Clarke County
1027,AL,"Clay County, Alabama",0.194,2720,1.3,SNAP,1.85,Other Nutrition Program,0.424,0.279,0.297,0.277,850.0,0.76,0.24,2.86,1339030,10,Clay County
1029,AL,"Cleburne County, Alabama",0.14,2070,1.3,SNAP,1.85,Other Nutrition Program,0.432,0.442,0.126,0.261,890.0,0.63,0.38,2.8,997660,10,Cleburne County
1031,AL,"Coffee County, Alabama",0.145,7010,1.3,SNAP,1.85,Other Nutrition Program,0.459,0.239,0.302,0.242,2800.0,0.67,0.33,2.62,3161370,10,Coffee County
