State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound.1,90% CI Upper Bound.1,Poverty Estimate Under Age 18,90% CI Lower Bound.2,90% CI Upper Bound.2,Poverty Percent Under Age 18,90% CI Lower Bound.3,90% CI Upper Bound.3,Poverty Estimate Ages 5-17,90% CI Lower Bound.4,90% CI Upper Bound.4,Poverty Percent Ages 5-17,90% CI Lower Bound.5,90% CI Upper Bound.5,Median Household Income,90% CI Lower Bound.6,90% CI Upper Bound.6,Poverty Estimate Ages 0-4,90% CI Lower Bound.7,90% CI Upper Bound.7,Poverty Percent Ages 0-4,90% CI Lower Bound.8,90% CI Upper Bound.8,Year
00,0.0,US,United States,48452035,48217869,48686201,15.9,15.8,16,16386500,16262247,16510753,22.5,22.3,22.7,10976987,10882675,11071299,20.8,20.6,21,50502,50429,50575,5110087.0,5061357.0,5158817.0,25.8,25.6,26.0,10
01,0.0,AL,Alabama,896117,879174,913060,19.1,18.7,19.5,307310,298317,316303,27.6,26.8,28.4,209724,201714,217734,25.8,24.8,26.8,41427,40894,41960,94184.0,89925.0,98443.0,31.5,30.1,32.9,10
01,1.0,AL,Autauga County,8152,6836,9468,14.9,12.5,17.3,2999,2470,3528,21,17.3,24.7,2075,1677,2473,19.4,15.7,23.1,48863,44355,53371,,,,,,,10
01,3.0,AL,Baldwin County,24728,20610,28846,13.4,11.2,15.6,8611,6906,10316,20.5,16.4,24.6,5842,4578,7106,18.9,14.8,23,50144,46554,53734,,,,,,,10
01,5.0,AL,Barbour County,7051,5884,8218,29.5,24.6,34.4,2330,1932,2728,39.8,33,46.6,1558,1266,1850,37.2,30.2,44.2,30117,27484,32750,,,,,,,10
01,7.0,AL,Bibb County,4562,3600,5524,22.2,17.5,26.9,1499,1194,1804,30.5,24.3,36.7,1027,810,1244,28.2,22.2,34.2,37347,33774,40920,,,,,,,10
01,9.0,AL,Blount County,8505,6764,10246,14.9,11.9,17.9,3094,2403,3785,22.2,17.2,27.2,2211,1684,2738,21.3,16.2,26.4,41940,38358,45522,,,,,,,10
01,11.0,AL,Bullock County,2909,2221,3597,32.8,25.1,40.5,937,713,1161,41.1,31.3,50.9,632,472,792,40.7,30.4,51,26038,23340,28736,,,,,,,10
01,13.0,AL,Butler County,4902,4037,5767,24.1,19.8,28.4,1726,1371,2081,35.7,28.4,43,1178,909,1447,33.7,26,41.4,30489,27969,33009,,,,,,,10
01,15.0,AL,Calhoun County,23974,20930,27018,20.9,18.2,23.6,8419,7162,9676,31.8,27,36.6,6020,5143,6897,31.1,26.6,35.6,39060,36668,41452,,,,,,,10
01,17.0,AL,Chambers County,7923,6675,9171,23.7,20,27.4,2912,2451,3373,39.1,32.9,45.3,2095,1766,2424,37.8,31.9,43.7,33500,30578,36422,,,,,,,10
01,19.0,AL,Cherokee County,6127,5092,7162,23.8,19.8,27.8,1996,1622,2370,36.6,29.8,43.4,1362,1085,1639,32.9,26.2,39.6,34738,31588,37888,,,,,,,10
01,21.0,AL,Chilton County,7940,6305,9575,18.3,14.5,22.1,3048,2319,3777,28.4,21.6,35.2,2153,1607,2699,27.7,20.7,34.7,38833,35803,41863,,,,,,,10
01,23.0,AL,Choctaw County,3677,3118,4236,27.3,23.1,31.5,1072,883,1261,35.9,29.6,42.2,778,646,910,34,28.2,39.8,32940,29694,36186,,,,,,,10
01,25.0,AL,Clarke County,6686,5662,7710,26.3,22.3,30.3,2184,1798,2570,35.2,29,41.4,1462,1166,1758,30.6,24.4,36.8,32642,29383,35901,,,,,,,10
01,27.0,AL,Clay County,2545,1973,3117,18.7,14.5,22.9,874,667,1081,28.5,21.7,35.3,601,450,752,26.2,19.6,32.8,32454,29341,35567,,,,,,,10
01,29.0,AL,Cleburne County,2509,1920,3098,17.2,13.2,21.2,887,678,1096,25.9,19.8,32,620,466,774,24.4,18.3,30.5,39153,35364,42942,,,,,,,10
01,31.0,AL,Coffee County,8447,7202,9692,16.9,14.4,19.4,2897,2405,3389,24,19.9,28.1,2073,1703,2443,23.8,19.6,28,42173,39230,45116,,,,,,,10
01,33.0,AL,Colbert County,10098,8509,11687,18.7,15.8,21.6,3354,2730,3978,28.4,23.1,33.7,2273,1816,2730,26,20.8,31.2,37269,34117,40421,,,,,,,10
01,35.0,AL,Conecuh County,3635,2939,4331,27.9,22.6,33.2,1171,903,1439,40.3,31.1,49.5,819,619,1019,38.1,28.8,47.4,26914,24129,29699,,,,,,,10
01,37.0,AL,Coosa County,2700,2289,3111,25.5,21.6,29.4,793,647,939,35.6,29,42.2,530,420,640,31.2,24.7,37.7,34391,31142,37640,,,,,,,10
01,39.0,AL,Covington County,9074,7812,10336,24.2,20.8,27.6,2883,2383,3383,34.2,28.3,40.1,2149,1783,2515,34.6,28.7,40.5,32138,29735,34541,,,,,,,10
01,41.0,AL,Crenshaw County,2500,1886,3114,18.2,13.7,22.7,906,684,1128,27.9,21.1,34.7,629,468,790,26.4,19.6,33.2,34534,31261,37807,,,,,,,10
01,43.0,AL,Cullman County,14455,12204,16706,18.2,15.4,21,5070,4170,5970,27.9,22.9,32.9,3664,3015,4313,27.6,22.7,32.5,39395,36063,42727,,,,,,,10
01,45.0,AL,Dale County,9198,7491,10905,18.8,15.3,22.3,3342,2646,4038,27.5,21.8,33.2,2227,1725,2729,25.9,20.1,31.7,41568,37700,45436,,,,,,,10
01,47.0,AL,Dallas County,15303,13310,17296,35.7,31,40.4,5626,4826,6426,49.9,42.8,57,3583,2895,4271,44.2,35.7,52.7,25859,23718,28000,,,,,,,10
01,49.0,AL,DeKalb County,14331,11742,16920,20.3,16.6,24,5337,4188,6486,29.5,23.1,35.9,3835,2976,4694,29.2,22.7,35.7,35487,33112,37862,,,,,,,10
01,51.0,AL,Elmore County,10299,8444,12154,13.8,11.3,16.3,3796,3033,4559,20.7,16.5,24.9,2612,2038,3186,19.3,15.1,23.5,54866,51620,58112,,,,,,,10
01,53.0,AL,Escambia County,8893,7427,10359,25.5,21.3,29.7,2691,2131,3251,31.5,24.9,38.1,1823,1412,2234,29.4,22.8,36,32838,29935,35741,,,,,,,10
01,55.0,AL,Etowah County,21426,19142,23710,21,18.8,23.2,7144,6085,8203,30.4,25.9,34.9,5160,4378,5942,29.8,25.3,34.3,34927,32423,37431,,,,,,,10
01,57.0,AL,Fayette County,3815,3068,4562,22.5,18.1,26.9,1218,968,1468,32.9,26.2,39.6,826,638,1014,30.2,23.3,37.1,32648,29767,35529,,,,,,,10
01,59.0,AL,Franklin County,6292,4889,7695,19.9,15.5,24.3,2518,1922,3114,32.5,24.8,40.2,1696,1262,2130,30.7,22.8,38.6,33705,30641,36769,,,,,,,10
01,61.0,AL,Geneva County,6475,5403,7547,24.4,20.4,28.4,2475,2078,2872,42.3,35.5,49.1,1640,1335,1945,38.1,31,45.2,33835,30606,37064,,,,,,,10
01,63.0,AL,Greene County,3115,2491,3739,35.1,28.1,42.1,1012,805,1219,47.3,37.6,57,687,537,837,43.2,33.8,52.6,24738,22244,27232,,,,,,,10
01,65.0,AL,Hale County,4306,3556,5056,28.5,23.5,33.5,1515,1239,1791,41,33.5,48.5,1041,848,1234,37.4,30.5,44.3,31044,28366,33722,,,,,,,10
01,67.0,AL,Henry County,3207,2522,3892,18.7,14.7,22.7,1131,866,1396,29.2,22.4,36,769,578,960,26.5,19.9,33.1,39788,36506,43070,,,,,,,10
01,69.0,AL,Houston County,17697,16026,19368,17.5,15.8,19.2,7173,6275,8071,29.2,25.5,32.9,5029,4333,5725,28.1,24.2,32,40428,38492,42364,,,,,,,10
01,71.0,AL,Jackson County,9423,7836,11010,17.9,14.9,20.9,2920,2295,3545,25.1,19.7,30.5,2046,1572,2520,23.5,18.1,28.9,36746,34383,39109,,,,,,,10
01,73.0,AL,Jefferson County,120760,112455,129065,18.7,17.4,20,41570,37474,45666,27.2,24.5,29.9,28943,25858,32028,26.6,23.8,29.4,42053,41075,43031,,,,,,,10
01,75.0,AL,Lamar County,3109,2472,3746,22.1,17.6,26.6,988,769,1207,31.4,24.4,38.4,673,513,833,28.6,21.8,35.4,34731,31365,38097,,,,,,,10
01,77.0,AL,Lauderdale County,14889,12256,17522,16.4,13.5,19.3,4704,3673,5735,24,18.7,29.3,3116,2339,3893,21.6,16.2,27,40195,37535,42855,,,,,,,10
01,79.0,AL,Lawrence County,6073,4875,7271,18,14.5,21.5,2089,1669,2509,27.1,21.6,32.6,1428,1112,1744,25.1,19.5,30.7,38132,34830,41434,,,,,,,10
01,81.0,AL,Lee County,29809,26272,33346,21.4,18.9,23.9,6432,5030,7834,20.7,16.2,25.2,4355,3309,5401,19.3,14.7,23.9,42539,40406,44672,,,,,,,10
01,83.0,AL,Limestone County,11439,9517,13361,13.9,11.6,16.2,4213,3449,4977,21.1,17.3,24.9,2803,2206,3400,19.3,15.2,23.4,46760,44876,48644,,,,,,,10
01,85.0,AL,Lowndes County,2995,2381,3609,27.1,21.5,32.7,1074,820,1328,39.9,30.5,49.3,738,554,922,38,28.5,47.5,28043,25360,30726,,,,,,,10
01,87.0,AL,Macon County,5997,4687,7307,30.9,24.1,37.7,1741,1341,2141,43,33.1,52.9,1168,874,1462,39.2,29.3,49.1,27591,25215,29967,,,,,,,10
01,89.0,AL,Madison County,45732,40759,50705,13.8,12.3,15.3,15576,13365,17787,19.8,17,22.6,10581,8893,12269,18.3,15.4,21.2,55298,52345,58251,,,,,,,10
01,91.0,AL,Marengo County,5018,3935,6101,24.6,19.3,29.9,1673,1293,2053,33.9,26.2,41.6,1139,866,1412,30.8,23.4,38.2,31995,28795,35195,,,,,,,10
01,93.0,AL,Marion County,7615,6492,8738,25.6,21.8,29.4,2166,1738,2594,33.2,26.6,39.8,1453,1123,1783,29.9,23.1,36.7,30926,27950,33902,,,,,,,10
01,95.0,AL,Marshall County,17719,15173,20265,19.1,16.4,21.8,6470,5378,7562,27.9,23.2,32.6,4537,3698,5376,27.2,22.2,32.2,38876,36556,41196,,,,,,,10
01,97.0,AL,Mobile County,80070,72897,87243,19.7,17.9,21.5,30333,26863,33803,29.9,26.5,33.3,20251,17507,22995,27.7,24,31.4,41867,40209,43525,,,,,,,10
01,99.0,AL,Monroe County,6462,5433,7491,28.7,24.1,33.3,2343,1942,2744,41.6,34.5,48.7,1633,1338,1928,38.3,31.4,45.2,31072,28175,33969,,,,,,,10
01,101.0,AL,Montgomery County,51765,46103,57427,23.2,20.7,25.7,19250,16630,21870,33.9,29.3,38.5,12428,10295,14561,30.3,25.1,35.5,42962,40715,45209,,,,,,,10
