State,Name,SNAP,Year
AL,Baldwin County,8.7,10
AL,Calhoun County,19.1,10
AL,Cullman County,14.3,10
AL,DeKalb County,16.0,10
AL,Elmore County,8.5,10
AL,Etowah County,14.5,10
AL,Houston County,14.2,10
AL,Jefferson County,13.9,10
AL,Lauderdale County,9.8,10
AL,Lee County,10.5,10
AL,Limestone County,8.9,10
AL,Madison County,7.6,10
AL,Marshall County,15.7,10
AL,Mobile County,17.6,10
AL,Montgomery County,15.7,10
AL,Morgan County,11.2,10
AL,St. Clair County,12.0,10
AL,Shelby County,6.9,10
AL,Talladega County,22.0,10
AL,Tuscaloosa County,9.8,10
AL,Walker County,15.9,10
AK,Anchorage Municipality,9.9,10
AK,Fairbanks North Star Borough,6.6,10
AK,Matanuska-Susitna Borough,10.5,10
AZ,Apache County,23.0,10
AZ,Cochise County,15.2,10
AZ,Coconino County,12.8,10
AZ,Maricopa County,12.0,10
AZ,Mohave County,15.1,10
AZ,Navajo County,25.2,10
AZ,Pima County,14.1,10
AZ,Pinal County,10.9,10
AZ,Yavapai County,14.5,10
AZ,Yuma County,21.1,10
AR,Benton County,8.2,10
AR,Craighead County,12.5,10
AR,Faulkner County,12.0,10
AR,Garland County,11.1,10
AR,Jefferson County,24.1,10
AR,Lonoke County,8.8,10
AR,Pulaski County,11.0,10
AR,Saline County,8.3,10
AR,Sebastian County,15.6,10
AR,Washington County,9.7,10
AR,White County,14.7,10
CA,Alameda County,6.0,10
CA,Butte County,10.4,10
CA,Contra Costa County,4.5,10
CA,El Dorado County,4.5,10
CA,Fresno County,17.3,10
CA,Humboldt County,8.1,10
CA,Imperial County,15.2,10
CA,Kern County,14.1,10
CA,Kings County,8.0,10
CA,Lake County,7.8,10
CA,Los Angeles County,7.3,10
CA,Madera County,18.5,10
CA,Marin County,2.6,10
CA,Mendocino County,10.6,10
CA,Merced County,15.6,10
CA,Monterey County,6.0,10
CA,Napa County,4.8,10
CA,Nevada County,5.3,10
CA,Orange County,4.4,10
CA,Placer County,3.4,10
CA,Riverside County,7.9,10
CA,Sacramento County,9.9,10
CA,San Bernardino County,11.9,10
CA,San Diego County,4.7,10
CA,San Francisco County,4.4,10
CA,San Joaquin County,11.2,10
CA,San Luis Obispo County,4.3,10
CA,San Mateo County,2.2,10
CA,Santa Barbara County,6.9,10
CA,Santa Clara County,4.6,10
CA,Santa Cruz County,7.2,10
CA,Shasta County,9.0,10
CA,Solano County,7.6,10
CA,Sonoma County,5.1,10
CA,Stanislaus County,12.0,10
CA,Sutter County,9.5,10
CA,Tulare County,21.9,10
CA,Ventura County,5.7,10
CA,Yolo County,7.2,10
CA,Yuba County,16.1,10
CO,Adams County,8.6,10
CO,Arapahoe County,7.0,10
CO,Boulder County,4.8,10
CO,Denver County,11.6,10
CO,Douglas County,1.6,10
CO,El Paso County,8.9,10
CO,Jefferson County,4.9,10
CO,Larimer County,6.1,10
CO,Mesa County,11.0,10
CO,Pueblo County,15.8,10
CO,Weld County,9.2,10
CT,Fairfield County,8.0,10
CT,Hartford County,12.4,10
CT,Litchfield County,6.7,10
CT,Middlesex County,6.0,10
CT,New Haven County,12.7,10
CT,New London County,8.6,10
CT,Tolland County,4.3,10
CT,Windham County,13.3,10
DE,Kent County,12.3,10
DE,New Castle County,10.4,10
DE,Sussex County,13.0,10
DC,District of Columbia,11.4,10
FL,Alachua County,11.1,10
FL,Bay County,10.3,10
FL,Brevard County,10.0,10
FL,Broward County,10.0,10
FL,Charlotte County,9.6,10
FL,Citrus County,12.5,10
FL,Clay County,9.3,10
FL,Collier County,7.1,10
FL,Columbia County,18.9,10
FL,Duval County,13.4,10
FL,Escambia County,12.8,10
FL,Flagler County,10.1,10
FL,Hernando County,15.3,10
FL,Highlands County,12.7,10
FL,Hillsborough County,13.8,10
FL,Indian River County,7.6,10
FL,Lake County,11.0,10
FL,Lee County,10.3,10
FL,Leon County,10.7,10
FL,Manatee County,10.0,10
FL,Marion County,14.1,10
FL,Martin County,6.3,10
FL,Miami-Dade County,21.0,10
FL,Monroe County,6.7,10
FL,Nassau County,8.2,10
FL,Okaloosa County,11.7,10
FL,Orange County,11.8,10
FL,Osceola County,16.4,10
FL,Palm Beach County,7.4,10
FL,Pasco County,14.3,10
FL,Pinellas County,10.8,10
FL,Polk County,13.6,10
FL,Putnam County,21.7,10
FL,St. Johns County,7.0,10
FL,St. Lucie County,11.8,10
FL,Santa Rosa County,11.6,10
FL,Sarasota County,7.7,10
FL,Seminole County,6.8,10
